number_of_sentences,number_of_words,average_negative_score,average_positive_score,number_of_negating_words,contains_bad,contains_worst,contains_stupid,contains_waste,contains_boring,contains_love,contains_wonderful,contains_best,contains_great,contains_superb,contains_beautiful,filename,sentiment
8,114,6.125,6.125,1,False,False,False,False,False,False,False,False,True,False,False,0_3.txt,negative
18,813,19.125,37.25,12,True,False,False,False,True,False,False,True,True,False,False,10000_4.txt,negative
11,142,4.75,3.375,2,False,False,False,False,False,True,False,False,False,False,False,10001_4.txt,negative
12,154,8.125,6.875,2,False,False,False,False,False,False,False,False,False,False,False,10002_1.txt,negative
22,399,17.958,16.167,8,False,True,False,False,True,True,False,True,False,False,False,10003_1.txt,negative
6,99,1.875,3.5,1,False,False,False,False,False,False,False,False,False,False,False,10004_3.txt,negative
23,324,10.625,11.75,4,False,False,False,False,False,False,False,True,False,False,False,10005_3.txt,negative
8,160,6.0,5.875,5,False,False,False,True,False,False,False,False,False,False,True,10006_4.txt,negative
6,67,1.847,2.528,0,False,False,False,False,False,False,False,True,False,False,False,10007_1.txt,negative
25,287,13.0,12.125,9,True,False,False,False,True,False,False,False,True,False,False,10008_2.txt,negative
21,341,11.0,8.75,4,True,True,False,False,False,False,False,False,False,False,False,10009_1.txt,negative
8,147,5.875,6.375,4,False,False,False,False,False,False,False,False,False,False,False,1000_4.txt,negative
11,101,7.5,6.0,5,False,False,False,False,False,False,False,False,False,False,False,10010_3.txt,negative
10,135,5.75,6.25,1,False,False,False,False,True,False,False,False,False,False,False,10011_3.txt,negative
6,139,5.5,4.625,4,True,False,False,False,True,False,False,False,False,False,False,10012_1.txt,negative
10,135,6.5,7.625,3,False,False,False,False,False,False,False,False,False,False,False,10013_1.txt,negative
5,68,4.0,1.125,0,False,True,False,False,False,False,False,False,False,False,False,10014_2.txt,negative
5,87,2.875,2.75,1,False,False,False,False,False,False,False,False,False,False,False,10015_2.txt,negative
9,128,4.0,5.5,3,False,False,False,False,False,False,False,False,False,False,False,10016_4.txt,negative
8,180,9.625,8.25,2,False,False,False,False,False,False,False,False,False,False,False,10017_4.txt,negative
2,19,0.5,0.375,0,False,False,False,True,False,False,False,False,False,False,False,10018_3.txt,negative
37,491,19.0,16.125,7,True,False,False,False,False,True,False,False,False,False,False,10019_3.txt,negative
7,184,8.25,7.125,4,True,False,False,False,False,False,False,False,False,False,False,1001_4.txt,negative
17,174,6.25,3.75,3,False,False,False,False,True,False,False,False,True,False,False,10020_3.txt,negative
9,119,4.25,6.5,6,False,True,False,False,False,False,False,False,False,False,False,10021_2.txt,negative
33,846,28.625,29.375,8,False,False,False,False,False,False,False,True,False,False,False,10022_4.txt,negative
9,228,7.25,9.0,3,False,False,False,True,False,False,True,False,False,False,True,10023_1.txt,negative
17,192,8.375,9.25,7,False,False,False,False,False,False,False,False,False,False,False,10024_3.txt,negative
29,496,21.25,15.25,3,False,False,False,True,False,True,False,False,False,False,False,10025_1.txt,negative
16,240,10.0,8.5,0,True,False,False,False,False,False,False,False,False,False,False,10026_2.txt,negative
9,129,3.625,3.875,2,False,False,False,False,False,False,False,False,False,False,False,10027_1.txt,negative
15,321,8.875,8.875,5,True,False,False,False,False,True,False,False,False,False,False,10028_2.txt,negative
16,312,10.25,10.0,7,False,False,False,False,False,False,False,False,False,False,False,10029_1.txt,negative
5,153,6.25,6.625,4,False,False,False,False,False,False,False,False,False,False,False,1002_3.txt,negative
32,507,18.75,13.5,4,False,True,False,False,False,False,False,False,True,False,False,10030_1.txt,negative
28,341,16.75,15.0,5,False,True,True,False,False,False,False,False,False,False,False,10031_2.txt,negative
22,242,8.0,8.125,7,True,False,True,False,False,False,False,False,False,False,False,10032_4.txt,negative
15,156,6.5,6.25,3,False,False,False,False,False,False,False,False,False,False,False,10033_1.txt,negative
3,117,1.375,1.875,0,True,True,False,False,True,False,False,False,False,False,False,10034_1.txt,negative
8,110,6.75,2.75,2,True,False,False,True,False,False,False,False,False,False,False,10035_1.txt,negative
10,197,6.875,7.25,3,True,False,False,False,False,False,False,False,False,False,False,10036_1.txt,negative
11,112,4.625,2.875,4,False,False,False,False,False,False,False,False,True,False,False,10037_1.txt,negative
10,119,1.875,2.5,1,False,False,False,False,False,False,False,False,False,False,False,10038_3.txt,negative
24,226,12.25,6.375,3,False,True,False,True,False,False,False,False,True,False,False,10039_1.txt,negative
17,345,16.875,13.625,3,True,False,False,False,False,False,False,False,True,False,False,1003_3.txt,negative
12,251,10.0,8.125,1,False,False,False,False,False,False,False,False,False,False,False,10040_2.txt,negative
28,721,22.75,31.0,8,True,False,False,False,False,False,False,False,False,False,False,10041_1.txt,negative
7,194,10.125,6.0,1,True,True,False,False,False,False,False,False,False,False,False,10042_1.txt,negative
33,407,12.25,10.25,3,False,False,False,False,False,False,False,False,False,False,False,10043_1.txt,negative
5,120,2.625,3.0,1,False,False,False,False,False,False,False,True,False,False,False,10044_1.txt,negative
9,117,4.25,4.875,5,False,False,True,False,False,False,False,False,True,False,False,10045_1.txt,negative
9,155,6.625,8.625,3,False,True,False,False,False,False,False,False,False,False,False,10046_1.txt,negative
16,162,6.0,6.625,3,False,True,False,False,False,False,False,False,False,False,False,10047_1.txt,negative
17,703,30.625,25.875,10,True,True,True,False,False,False,False,False,True,False,False,10048_4.txt,negative
13,183,9.25,7.75,2,False,True,False,False,False,True,True,False,False,False,False,10049_1.txt,negative
20,237,4.875,10.625,3,False,False,False,False,False,False,False,False,False,False,False,1004_4.txt,negative
9,171,7.875,6.75,2,False,False,False,False,False,False,False,False,False,False,False,10050_2.txt,negative
9,192,7.625,7.125,3,False,False,False,False,True,False,False,False,False,False,False,10051_4.txt,negative
15,196,8.625,6.25,1,True,False,False,False,False,True,False,True,False,False,False,10052_4.txt,negative
9,169,5.0,6.125,2,False,False,False,False,False,False,False,True,False,False,False,10053_4.txt,negative
9,162,5.0,7.25,5,True,False,False,False,False,False,False,False,False,False,False,10054_1.txt,negative
14,349,11.25,13.625,7,False,True,False,False,False,False,True,True,True,False,False,10055_3.txt,negative
11,190,8.5,4.25,3,False,False,False,False,False,False,False,False,False,False,False,10056_2.txt,negative
51,970,34.125,28.75,11,True,False,False,False,False,False,False,True,False,False,False,10057_1.txt,negative
9,136,6.375,3.875,0,True,False,False,False,False,False,False,True,False,False,False,10058_1.txt,negative
14,170,3.0,2.0,1,False,False,False,False,False,False,False,False,True,False,False,10059_4.txt,negative
2,164,7.25,4.125,0,False,False,False,False,True,False,False,False,True,False,False,1005_3.txt,negative
4,113,4.75,4.75,5,False,False,False,False,True,False,False,False,False,False,False,10060_1.txt,negative
9,137,4.5,4.75,3,True,False,False,False,False,False,False,False,False,False,False,10061_4.txt,negative
21,210,7.5,6.625,1,False,False,False,False,True,False,False,False,False,False,False,10062_1.txt,negative
5,136,4.75,5.125,4,True,False,False,False,False,False,False,False,False,False,False,10063_1.txt,negative
10,138,6.125,7.25,6,True,False,False,False,False,False,False,False,False,False,False,10064_3.txt,negative
4,51,4.4719999999999995,2.278,0,True,False,False,False,False,False,False,False,False,False,False,10065_2.txt,negative
10,139,6.0,4.75,5,False,False,False,False,True,False,False,False,True,False,False,10066_4.txt,negative
75,1023,44.25,34.75,18,True,True,False,False,False,False,True,False,False,False,False,10067_3.txt,negative
7,158,5.125,8.375,2,False,False,False,False,False,False,False,False,False,False,False,10068_4.txt,negative
17,335,16.625,15.375,10,False,False,False,False,False,False,False,True,False,False,False,10069_1.txt,negative
24,464,16.25,21.75,7,False,True,False,False,False,False,False,False,True,False,False,1006_1.txt,negative
12,127,5.25,3.625,1,False,False,False,False,False,False,False,False,False,False,False,10070_3.txt,negative
17,316,13.625,11.75,2,False,True,False,False,False,False,False,False,False,False,False,10071_1.txt,negative
18,252,13.375,7.75,3,False,False,False,False,False,False,False,False,False,False,False,10072_1.txt,negative
19,362,13.75,17.125,2,True,False,False,False,False,False,False,False,True,False,False,10073_4.txt,negative
4,54,2.375,1.125,0,True,False,False,False,False,False,False,True,False,False,False,10074_2.txt,negative
10,190,5.125,7.375,2,False,False,True,False,False,False,False,False,False,False,False,10075_2.txt,negative
16,294,5.5,10.5,7,True,False,False,False,False,False,False,False,True,False,False,10076_4.txt,negative
16,414,14.5,18.375,13,True,False,True,False,False,True,False,False,False,False,False,10077_2.txt,negative
8,133,3.875,5.375,3,False,False,False,False,False,True,False,False,False,False,False,10078_1.txt,negative
23,540,19.125,28.0,8,False,False,True,False,False,False,False,False,False,False,True,10079_1.txt,negative
9,217,10.625,10.25,4,False,False,True,True,False,False,False,False,True,False,False,1007_1.txt,negative
7,132,5.75,5.5,4,False,False,False,False,False,True,False,True,False,False,False,10080_2.txt,negative
7,127,7.0,6.75,4,True,False,False,False,False,False,False,False,False,False,False,10081_1.txt,negative
17,169,5.75,5.375,5,False,False,False,False,False,False,False,False,False,False,False,10082_4.txt,negative
10,97,5.875,5.875,2,True,False,False,False,False,True,False,False,False,False,False,10083_1.txt,negative
12,219,8.5,9.875,4,False,False,False,False,False,True,False,False,False,False,False,10084_4.txt,negative
9,106,8.625,3.875,2,False,False,False,False,False,True,False,False,False,False,False,10085_3.txt,negative
5,57,2.25,1.625,0,True,False,False,True,False,False,False,False,False,False,False,10086_2.txt,negative
7,84,2.125,2.375,0,False,False,False,False,False,False,False,False,False,False,False,10087_4.txt,negative
15,179,7.875,6.25,0,True,True,False,False,False,False,False,False,False,False,False,10088_1.txt,negative
34,689,22.919000000000004,25.456,3,True,True,False,False,False,False,False,True,False,False,False,10089_1.txt,negative
12,128,5.0,4.375,2,False,True,False,True,False,False,True,False,False,False,False,1008_1.txt,negative
20,149,6.875,3.625,1,False,False,False,False,False,False,False,False,False,False,False,10090_1.txt,negative
9,129,5.75,5.375,4,False,False,False,False,False,False,False,True,False,False,False,10091_1.txt,negative
15,326,8.75,10.5,1,True,False,False,False,False,False,False,False,False,False,False,10092_1.txt,negative
20,207,7.125,4.625,3,True,False,False,False,False,False,False,False,False,False,False,10093_1.txt,negative
17,190,8.25,6.875,3,True,True,False,True,False,False,False,False,False,False,False,10094_1.txt,negative
9,196,7.75,10.75,7,False,True,False,False,False,False,False,False,False,False,False,10095_1.txt,negative
7,127,3.375,4.125,0,False,True,False,False,False,False,False,True,False,False,False,10096_1.txt,negative
14,220,7.875,7.875,6,False,False,False,False,False,False,False,False,False,False,False,10097_1.txt,negative
13,114,4.875,6.375,2,True,False,False,False,False,False,False,True,True,False,False,10098_1.txt,negative
9,153,5.125,3.75,3,False,True,False,True,False,False,False,False,False,False,False,10099_1.txt,negative
30,328,11.625,10.5,0,True,False,False,True,False,False,False,True,False,False,False,1009_4.txt,negative
5,116,2.875,3.375,1,False,False,False,False,False,False,False,True,False,False,False,100_3.txt,negative
9,96,9.875,2.75,0,False,True,False,False,False,False,False,False,True,False,False,10100_1.txt,negative
11,202,8.25,6.25,4,False,True,False,False,False,False,False,True,False,False,False,10101_1.txt,negative
13,225,11.708,8.792,4,True,True,False,False,False,True,False,False,False,False,False,10102_1.txt,negative
14,275,10.375,13.75,4,True,False,False,False,False,False,False,False,True,False,True,10103_1.txt,negative
18,306,9.625,9.375,7,True,True,True,True,False,False,False,False,False,False,False,10104_1.txt,negative
31,430,16.375,18.0,6,True,False,False,True,True,True,False,False,False,False,False,10105_1.txt,negative
15,252,10.0,8.75,4,True,False,False,False,False,False,False,False,False,False,False,10106_1.txt,negative
9,186,7.625,7.125,4,True,False,False,False,False,False,False,False,False,False,False,10107_1.txt,negative
34,689,22.919000000000004,25.456,3,True,True,False,False,False,False,False,True,False,False,False,10108_1.txt,negative
13,167,5.0,11.0,7,True,True,False,False,False,False,False,False,False,False,False,10109_1.txt,negative
18,201,14.125,8.25,5,True,False,False,False,True,False,False,False,False,False,False,1010_4.txt,negative
15,227,5.75,5.75,4,False,True,False,True,False,False,False,True,False,False,False,10110_1.txt,negative
5,180,7.625,7.875,3,True,False,False,False,False,False,False,False,False,False,False,10111_1.txt,negative
16,252,13.25,8.625,2,True,True,False,False,True,False,False,False,False,False,False,10112_1.txt,negative
8,148,4.0,5.875,1,True,True,False,False,False,False,False,False,False,False,False,10113_1.txt,negative
13,141,4.75,5.125,2,False,True,False,False,False,False,False,False,False,False,False,10114_1.txt,negative
13,126,5.5,3.375,2,False,False,False,True,False,False,False,False,False,False,False,10115_1.txt,negative
8,107,6.375,2.125,1,False,False,False,False,False,False,False,False,False,False,False,10116_1.txt,negative
15,190,8.375,4.875,4,True,False,False,False,False,False,False,False,False,False,False,10117_1.txt,negative
4,61,2.0,2.0,0,False,False,False,False,False,False,False,True,False,False,False,10118_4.txt,negative
8,138,5.0,5.375,3,False,False,False,False,False,False,False,True,False,False,False,10119_2.txt,negative
24,209,7.25,10.875,2,True,False,False,False,False,False,False,False,False,False,False,1011_2.txt,negative
8,145,9.75,7.875,1,False,False,False,False,False,False,False,False,False,False,False,10120_4.txt,negative
9,110,3.375,2.25,0,False,False,False,False,True,False,False,False,False,False,False,10121_3.txt,negative
10,204,8.5,7.25,2,False,False,False,False,False,True,False,False,False,False,False,10122_4.txt,negative
31,565,13.625,22.0,10,False,False,False,False,False,False,False,True,True,False,False,10123_3.txt,negative
7,139,5.375,5.5,4,False,False,False,False,True,False,False,False,False,False,False,10124_1.txt,negative
20,593,16.375,19.625,7,True,False,False,False,False,False,False,False,False,False,False,10125_1.txt,negative
31,575,22.5,24.0,10,False,False,False,False,True,False,False,False,True,False,False,10126_2.txt,negative
5,98,3.625,3.125,4,False,False,False,False,False,False,False,False,False,False,False,10127_1.txt,negative
14,350,9.625,12.25,8,True,False,False,True,False,False,False,False,False,False,False,10128_1.txt,negative
10,183,6.5,6.875,3,False,True,False,False,False,False,False,False,False,False,False,10129_1.txt,negative
8,132,3.625,6.125,1,True,False,False,False,False,False,False,False,False,False,False,1012_2.txt,negative
15,313,8.375,7.0,4,False,True,False,False,False,False,False,False,True,False,False,10130_2.txt,negative
7,156,6.0,3.625,1,True,True,False,False,False,False,False,False,False,False,False,10131_1.txt,negative
13,311,9.125,11.625,5,True,False,False,False,True,False,False,True,True,False,False,10132_2.txt,negative
8,131,4.875,7.125,2,True,False,True,False,False,True,False,False,False,False,False,10133_1.txt,negative
6,229,10.625,11.125,7,True,False,False,False,True,False,False,False,False,False,False,10134_1.txt,negative
11,167,6.25,5.375,2,False,False,False,False,False,False,False,False,False,False,False,10135_2.txt,negative
17,220,8.25,5.625,0,True,False,False,False,False,False,False,False,False,False,False,10136_2.txt,negative
9,155,4.75,6.125,6,True,False,False,False,False,False,False,False,False,False,False,10137_1.txt,negative
9,186,7.5,3.625,2,False,False,False,False,False,False,False,False,False,False,False,10138_3.txt,negative
8,209,7.625,8.375,2,False,False,False,False,False,False,False,True,False,False,True,10139_4.txt,negative
17,213,11.5,4.875,2,True,False,False,False,False,False,False,False,False,False,False,1013_2.txt,negative
11,103,4.75,5.875,3,True,False,False,False,False,False,False,False,False,False,False,10140_3.txt,negative
16,413,12.75,14.75,9,False,False,False,False,False,False,False,False,False,False,False,10141_2.txt,negative
16,601,23.5,25.75,9,True,True,False,True,True,False,False,False,False,False,False,10142_2.txt,negative
7,168,9.125,8.25,5,False,True,False,False,True,False,False,False,False,False,False,10143_1.txt,negative
15,192,8.375,4.25,0,False,False,False,False,False,False,False,True,False,False,False,10144_2.txt,negative
4,120,3.75,3.5,0,False,False,False,False,False,False,False,False,False,False,False,10145_1.txt,negative
1,132,4.75,8.25,1,False,True,False,False,True,False,False,True,False,False,False,10146_1.txt,negative
7,118,1.875,4.0,0,False,True,False,False,False,False,False,False,False,False,False,10147_1.txt,negative
38,660,29.847,23.778,10,True,False,False,False,False,False,False,True,False,False,False,10148_3.txt,negative
13,294,7.5,10.875,7,False,False,False,True,False,False,False,False,False,False,False,10149_1.txt,negative
10,105,5.0,5.625,3,True,False,False,False,False,False,False,False,False,False,False,1014_2.txt,negative
5,146,6.069,6.181,3,True,False,False,False,False,True,False,False,False,False,False,10150_3.txt,negative
45,602,14.125,13.625,4,True,False,False,False,False,False,False,False,True,False,False,10151_1.txt,negative
4,80,3.0,5.125,2,True,False,False,False,False,False,False,False,False,False,False,10152_1.txt,negative
7,206,8.625,10.625,2,True,False,False,False,False,False,False,False,False,False,False,10153_4.txt,negative
9,127,4.625,3.625,2,True,False,False,True,False,False,False,False,False,False,False,10154_1.txt,negative
25,330,16.625,16.75,4,False,False,False,False,False,True,False,True,False,False,False,10155_4.txt,negative
11,139,4.5,3.25,1,False,False,True,False,False,False,False,False,False,False,False,10156_1.txt,negative
9,187,6.125,5.875,0,False,False,False,False,False,False,False,False,False,False,False,10157_4.txt,negative
14,175,11.625,5.5,1,False,False,False,False,False,False,False,False,True,False,False,10158_4.txt,negative
42,743,27.25,30.625,10,False,False,False,False,False,True,False,True,True,False,False,10159_3.txt,negative
7,96,4.25,7.125,0,True,False,False,False,False,False,False,False,False,False,False,1015_2.txt,negative
8,187,2.875,8.125,4,False,False,False,False,False,False,False,False,True,False,False,10160_4.txt,negative
8,153,5.375,4.875,3,False,False,False,False,False,False,False,False,False,False,False,10161_2.txt,negative
17,299,10.0,10.5,3,False,True,False,False,False,False,True,False,False,False,True,10162_3.txt,negative
10,177,6.125,5.75,2,False,False,False,False,False,False,False,False,False,False,False,10163_4.txt,negative
7,134,7.625,7.375,4,False,False,False,False,False,False,False,False,False,False,False,10164_4.txt,negative
27,365,18.5,14.75,7,False,False,False,False,False,False,False,False,True,False,False,10165_3.txt,negative
14,297,12.0,11.875,11,False,False,False,False,False,False,False,False,False,False,False,10166_2.txt,negative
6,71,2.625,2.0,3,True,False,False,False,False,False,False,False,False,False,False,10167_1.txt,negative
5,67,3.25,1.875,1,False,False,False,False,False,False,False,False,False,False,False,10168_2.txt,negative
16,242,10.375,10.125,4,True,False,False,False,False,False,False,False,False,False,False,10169_2.txt,negative
9,174,4.875,9.375,2,True,False,False,False,False,False,False,False,False,False,False,1016_4.txt,negative
20,345,12.125,12.375,6,False,True,False,False,False,False,True,True,False,False,False,10170_2.txt,negative
15,189,7.625,8.125,0,True,False,False,False,False,False,False,False,False,False,False,10171_3.txt,negative
12,173,8.75,4.0,2,False,False,True,False,False,False,False,False,False,False,False,10172_1.txt,negative
19,228,6.0,9.875,3,True,False,False,False,False,False,False,False,False,False,False,10173_1.txt,negative
8,106,5.125,5.5,4,False,False,False,False,False,False,False,False,False,False,False,10174_4.txt,negative
33,345,13.75,15.625,8,False,False,False,False,False,True,False,False,False,False,False,10175_3.txt,negative
31,609,21.125,26.0,9,True,False,False,False,False,False,False,False,True,False,True,10176_1.txt,negative
2,47,0.25,1.25,0,False,True,False,False,False,False,False,False,False,False,False,10177_1.txt,negative
11,102,4.25,3.75,2,False,True,False,False,False,False,False,False,False,False,False,10178_3.txt,negative
7,120,5.25,1.75,1,False,False,False,False,False,False,False,False,False,False,False,10179_1.txt,negative
15,179,9.5,8.25,5,True,False,False,False,False,False,False,False,True,False,False,1017_1.txt,negative
7,120,5.25,1.75,1,False,False,False,False,False,False,False,False,False,False,False,10180_1.txt,negative
